Region,Bay,Date,TrawlNum,trapCount_Unvented,trapCount_Vented,bsbCount_Unvented,bsbCount_Vented,Latitude,Longitude,depthStrata,State,ventedCPUE,unventedCPUE,StdCatch,Year,Month
BIS,Rhode Island,27-07-2006,3105,3,3,0,0,41.35,-71.4499,2,RI,0,0,0,2006,7
BIS,Rhode Island,27-07-2006,3200,3,3,0,0,41.3678,-71.4331,2,RI,0,0,0,2006,7
BIS,Rhode Island,27-07-2006,3288,3,3,0,0,41.3804,-71.4189,2,RI,0,0,0,2006,7
BIS,Rhode Island,27-07-2006,3365,3,3,0,0,41.403,-71.4557,1,RI,0,0,0,2006,7
BIS,Rhode Island,27-07-2006,19872,3,3,0,0,41.2033,-71.5311,2,RI,0,0,0,2006,7
BIS,Rhode Island,27-07-2006,20084,3,3,44,0,41.1542,-71.6295,1,RI,0,14.66666667,44,2006,7
BIS,Rhode Island,27-07-2006,20186,3,3,0,0,41.3227,-71.5869,2,RI,0,0,0,2006,7
BIS,Rhode Island,27-07-2006,20224,3,3,0,1,41.3663,-71.5256,1,RI,0.333333333,0,1,2006,7
BIS,Rhode Island,30-07-2006,3105,3,3,0,0,41.3506,-71.4475,2,RI,0,0,0,2006,7
BIS,Rhode Island,30-07-2006,3200,3,3,0,0,41.3678,-71.4331,2,RI,0,0,0,2006,7
BIS,Rhode Island,30-07-2006,3288,3,3,0,0,41.3804,-71.4189,2,RI,0,0,0,2006,7
BIS,Rhode Island,30-07-2006,3365,3,3,0,0,41.4025,-71.458,1,RI,0,0,0,2006,7
BIS,Rhode Island,30-07-2006,19872,3,3,0,0,41.2028,-71.5335,2,RI,0,0,0,2006,7
BIS,Rhode Island,30-07-2006,20084,3,3,0,0,41.1521,-71.6284,1,RI,0,0,0,2006,7
BIS,Rhode Island,30-07-2006,20186,3,3,0,0,41.3227,-71.5869,2,RI,0,0,0,2006,7
BIS,Rhode Island,30-07-2006,20224,3,3,0,0,41.3663,-71.5256,1,RI,0,0,0,2006,7
BIS,Rhode Island,17-08-2006,3105,3,3,0,0,41.3506,-71.4475,2,RI,0,0,0,2006,8
BIS,Rhode Island,17-08-2006,3200,3,3,0,0,41.3683,-71.4308,2,RI,0,0,0,2006,8
BIS,Rhode Island,17-08-2006,3288,3,3,0,0,41.3804,-71.4189,2,RI,0,0,0,2006,8
BIS,Rhode Island,17-08-2006,3365,3,3,0,0,41.4025,-71.458,1,RI,0,0,0,2006,8
BIS,Rhode Island,17-08-2006,19872,3,3,0,0,41.2028,-71.5335,2,RI,0,0,0,2006,8
BIS,Rhode Island,17-08-2006,20084,3,3,5,0,41.1846,-71.6128,1,RI,0,1.666666667,5,2006,8
BIS,Rhode Island,17-08-2006,20186,3,3,0,0,41.3025,-71.5733,2,RI,0,0,0,2006,8
BIS,Rhode Island,17-08-2006,20224,3,3,2,0,41.3647,-71.522,1,RI,0,0.666666667,2,2006,8
BIS,Rhode Island,21-08-2006,3105,3,3,0,0,41.3506,-71.4475,2,RI,0,0,0,2006,8
BIS,Rhode Island,21-08-2006,3200,3,3,0,0,41.3683,-71.4308,2,RI,0,0,0,2006,8
BIS,Rhode Island,21-08-2006,3288,3,3,0,0,41.3783,-71.4177,2,RI,0,0,0,2006,8
