SampleAutoID,StationID,Strata,Bay,Date,Year,vented trap count,vent count BSB,vent CPUE,ventless trap count,ventless count BSB,ventless CPUE,AVG,SCPT
5233,3973,33,BuzzardsBay,6/5/2008,2008,3,0,0,3,0,0,0,0
5234,3724,31,BuzzardsBay,6/5/2008,2008,3,0,0,3,2,0.666666667,0.333333333,2
5235,3723,31,BuzzardsBay,6/5/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5236,3722,31,BuzzardsBay,6/5/2008,2008,3,0,0,3,0,0,0,0
5237,3640,31,BuzzardsBay,6/5/2008,2008,3,0,0,3,0,0,0,0
5238,3555,31,BuzzardsBay,6/5/2008,2008,3,0,0,3,0,0,0,0
5239,3472,31,BuzzardsBay,6/5/2008,2008,3,0,0,3,0,0,0,0
5240,3393,31,BuzzardsBay,6/5/2008,2008,3,0,0,3,0,0,0,0
5241,3314,31,BuzzardsBay,6/5/2008,2008,3,0,0,3,0,0,0,0
5242,3229,31,BuzzardsBay,6/5/2008,2008,3,0,0,3,0,0,0,0
5243,3135,31,BuzzardsBay,6/5/2008,2008,3,0,0,3,0,0,0,0
5244,3136,31,BuzzardsBay,6/5/2008,2008,3,0,0,3,0,0,0,0
5245,3137,31,BuzzardsBay,6/5/2008,2008,3,0,0,3,0,0,0,0
5246,3731,33,BuzzardsBay,6/5/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5287,3731,33,BuzzardsBay,6/9/2008,2008,3,1,0.333333333,3,1,0.333333333,0.333333333,2
5288,3137,31,BuzzardsBay,6/9/2008,2008,3,0,0,3,0,0,0,0
5289,3136,31,BuzzardsBay,6/9/2008,2008,3,0,0,3,0,0,0,0
5290,3135,31,BuzzardsBay,6/9/2008,2008,3,0,0,3,0,0,0,0
5291,3229,31,BuzzardsBay,6/9/2008,2008,3,0,0,3,0,0,0,0
5292,3314,31,BuzzardsBay,6/9/2008,2008,3,0,0,3,0,0,0,0
5293,3393,31,BuzzardsBay,6/9/2008,2008,3,0,0,3,0,0,0,0
5294,3472,31,BuzzardsBay,6/9/2008,2008,3,0,0,3,0,0,0,0
5295,3555,31,BuzzardsBay,6/9/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5296,3640,31,BuzzardsBay,6/9/2008,2008,3,0,0,3,0,0,0,0
5297,3722,31,BuzzardsBay,6/9/2008,2008,3,0,0,3,0,0,0,0
5298,3723,31,BuzzardsBay,6/9/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5299,3724,31,BuzzardsBay,6/9/2008,2008,3,0,0,3,0,0,0,0
5300,3973,33,BuzzardsBay,6/9/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5301,4059,33,BuzzardsBay,6/16/2008,2008,3,1,0.333333333,3,1,0.333333333,0.333333333,2
5302,3820,33,BuzzardsBay,6/16/2008,2008,3,0,0,3,2,0.666666667,0.333333333,2
5303,4353,33,BuzzardsBay,6/16/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5304,4509,33,BuzzardsBay,6/16/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5305,4560,33,BuzzardsBay,6/16/2008,2008,3,0,0,3,6,2,1,6
5307,4558,33,BuzzardsBay,6/16/2008,2008,3,0,0,3,5,1.666666667,0.833333333,5
5308,4451,33,BuzzardsBay,6/16/2008,2008,3,0,0,3,3,1,0.5,3
5309,4502,33,BuzzardsBay,6/16/2008,2008,3,0,0,3,4,1.333333333,0.666666667,4
5310,4280,33,BuzzardsBay,6/16/2008,2008,3,0,0,3,7,2.333333333,1.166666667,7
5311,4277,33,BuzzardsBay,6/16/2008,2008,3,0,0,3,0,0,0,0
5312,4059,33,BuzzardsBay,6/20/2008,2008,3,0,0,3,3,1,0.5,3
5313,3820,33,BuzzardsBay,6/20/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5314,4353,33,BuzzardsBay,6/20/2008,2008,3,0,0,3,7,2.333333333,1.166666667,7
5315,4509,33,BuzzardsBay,6/20/2008,2008,3,0,0,3,6,2,1,6
5316,4560,33,BuzzardsBay,6/20/2008,2008,3,0,0,3,6,2,1,6
5317,4558,33,BuzzardsBay,6/20/2008,2008,3,0,0,3,4,1.333333333,0.666666667,4
5318,4451,33,BuzzardsBay,6/20/2008,2008,3,0,0,3,2,0.666666667,0.333333333,2
5319,4502,33,BuzzardsBay,6/20/2008,2008,2,0,0,3,1,0.333333333,0.166666667,1
5320,4280,33,BuzzardsBay,6/20/2008,2008,3,0,0,3,6,2,1,6
5321,4277,33,BuzzardsBay,6/20/2008,2008,3,0,0,3,0,0,0,0
5591,3973,33,BuzzardsBay,7/7/2008,2008,3,0,0,3,4,1.333333333,0.666666667,4
5592,3724,31,BuzzardsBay,7/7/2008,2008,3,0,0,3,3,1,0.5,3
5593,3723,31,BuzzardsBay,7/7/2008,2008,3,0,0,3,0,0,0,0
5594,3722,31,BuzzardsBay,7/7/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5595,3640,31,BuzzardsBay,7/7/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5596,3555,31,BuzzardsBay,7/7/2008,2008,3,0,0,3,0,0,0,0
5597,3393,31,BuzzardsBay,7/7/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5598,3136,31,BuzzardsBay,7/7/2008,2008,3,0,0,3,0,0,0,0
5599,3137,31,BuzzardsBay,7/7/2008,2008,3,0,0,3,0,0,0,0
5600,3229,31,BuzzardsBay,7/7/2008,2008,3,0,0,3,0,0,0,0
5601,3135,31,BuzzardsBay,7/7/2008,2008,3,0,0,3,0,0,0,0
5602,3731,33,BuzzardsBay,7/7/2008,2008,3,2,0.666666667,3,3,1,0.833333333,5
5603,3731,33,BuzzardsBay,7/10/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5604,3137,31,BuzzardsBay,7/10/2008,2008,3,0,0,3,0,0,0,0
5605,3136,31,BuzzardsBay,7/10/2008,2008,3,0,0,3,0,0,0,0
5606,3135,31,BuzzardsBay,7/10/2008,2008,3,0,0,3,0,0,0,0
5607,3229,31,BuzzardsBay,7/10/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5608,3314,31,BuzzardsBay,7/7/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5609,3314,31,BuzzardsBay,7/10/2008,2008,3,0,0,3,0,0,0,0
5610,3393,31,BuzzardsBay,7/10/2008,2008,3,0,0,3,0,0,0,0
5611,3555,31,BuzzardsBay,7/10/2008,2008,3,0,0,3,0,0,0,0
5612,3640,31,BuzzardsBay,7/10/2008,2008,3,0,0,3,0,0,0,0
5613,3722,31,BuzzardsBay,7/10/2008,2008,3,0,0,3,0,0,0,0
5614,3723,31,BuzzardsBay,7/10/2008,2008,3,2,0.666666667,3,0,0,0.333333333,2
5615,3724,31,BuzzardsBay,7/10/2008,2008,3,1,0.333333333,3,2,0.666666667,0.5,3
5616,3973,33,BuzzardsBay,7/10/2008,2008,3,0,0,3,3,1,0.5,3
5617,4059,33,BuzzardsBay,7/14/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5618,4353,33,BuzzardsBay,7/14/2008,2008,3,0,0,3,2,0.666666667,0.333333333,2
5619,4509,33,BuzzardsBay,7/14/2008,2008,3,1,0.333333333,3,2,0.666666667,0.5,3
5620,4560,33,BuzzardsBay,7/14/2008,2008,3,0,0,3,0,0,0,0
5621,4558,33,BuzzardsBay,7/14/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5622,4451,33,BuzzardsBay,7/14/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5623,4502,33,BuzzardsBay,7/14/2008,2008,3,0,0,3,0,0,0,0
5624,4280,33,BuzzardsBay,7/14/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5625,4277,33,BuzzardsBay,7/14/2008,2008,3,0,0,3,2,0.666666667,0.333333333,2
5626,4059,33,BuzzardsBay,7/17/2008,2008,3,0,0,3,2,0.666666667,0.333333333,2
5627,4353,33,BuzzardsBay,7/17/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5628,4509,33,BuzzardsBay,7/17/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5629,4560,33,BuzzardsBay,7/17/2008,2008,3,0,0,3,0,0,0,0
5630,4558,33,BuzzardsBay,7/17/2008,2008,3,0,0,3,2,0.666666667,0.333333333,2
5631,4451,33,BuzzardsBay,7/17/2008,2008,3,0,0,3,0,0,0,0
5632,4502,33,BuzzardsBay,7/17/2008,2008,3,0,0,3,0,0,0,0
5633,4280,33,BuzzardsBay,7/17/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5634,4277,33,BuzzardsBay,7/17/2008,2008,3,0,0,3,0,0,0,0
5639,4059,33,BuzzardsBay,8/14/2008,2008,3,0,0,3,0,0,0,0
5641,4059,33,BuzzardsBay,8/11/2008,2008,3,1,0.333333333,3,3,1,0.666666667,4
5642,4059,33,BuzzardsBay,9/14/2008,2008,3,2,0.666666667,3,9,3,1.833333333,11
5644,4059,33,BuzzardsBay,9/18/2008,2008,3,1,0.333333333,3,2,0.666666667,0.5,3
5646,3820,33,BuzzardsBay,8/11/2008,2008,3,2,0.666666667,3,5,1.666666667,1.166666667,7
5647,3820,33,BuzzardsBay,8/14/2008,2008,3,1,0.333333333,3,8,2.666666667,1.5,9
5648,3820,33,BuzzardsBay,9/14/2008,2008,3,1,0.333333333,3,7,2.333333333,1.333333333,8
5650,3820,33,BuzzardsBay,9/18/2008,2008,3,3,1,3,7,2.333333333,1.666666667,10
5652,4353,33,BuzzardsBay,8/11/2008,2008,3,0,0,3,0,0,0,0
5654,4353,33,BuzzardsBay,8/14/2008,2008,3,1,0.333333333,3,4,1.333333333,0.833333333,5
5655,4353,33,BuzzardsBay,9/14/2008,2008,3,3,1,3,5,1.666666667,1.333333333,8
5656,4353,33,BuzzardsBay,9/18/2008,2008,3,1,0.333333333,3,4,1.333333333,0.833333333,5
5657,4509,33,BuzzardsBay,8/11/2008,2008,3,0,0,3,2,0.666666667,0.333333333,2
5659,4509,33,BuzzardsBay,8/14/2008,2008,3,2,0.666666667,3,1,0.333333333,0.5,3
5660,4509,33,BuzzardsBay,9/14/2008,2008,3,0,0,3,16,5.333333333,2.666666667,16
5662,4509,33,BuzzardsBay,9/18/2008,2008,3,4,1.333333333,3,28,9.333333333,5.333333333,32
5664,4560,33,BuzzardsBay,8/11/2008,2008,3,0,0,3,0,0,0,0
5666,4560,33,BuzzardsBay,8/14/2008,2008,3,1,0.333333333,3,0,0,0.166666667,1
5667,4560,33,BuzzardsBay,9/14/2008,2008,3,3,1,3,4,1.333333333,1.166666667,7
5669,4560,33,BuzzardsBay,9/18/2008,2008,3,4,1.333333333,3,22,7.333333333,4.333333333,26
5670,4558,33,BuzzardsBay,8/11/2008,2008,3,0,0,3,4,1.333333333,0.666666667,4
5671,4558,33,BuzzardsBay,8/14/2008,2008,3,1,0.333333333,3,2,0.666666667,0.5,3
5673,4558,33,BuzzardsBay,9/14/2008,2008,3,2,0.666666667,3,0,0,0.333333333,2
5675,4558,33,BuzzardsBay,9/18/2008,2008,3,0,0,3,2,0.666666667,0.333333333,2
5678,4451,33,BuzzardsBay,8/11/2008,2008,3,0,0,3,0,0,0,0
5679,4451,33,BuzzardsBay,8/14/2008,2008,3,1,0.333333333,3,1,0.333333333,0.333333333,2
5680,4451,33,BuzzardsBay,9/14/2008,2008,3,7,2.333333333,3,21,7,4.666666667,28
5682,4451,33,BuzzardsBay,9/18/2008,2008,3,5,1.666666667,3,37,12.33333333,7,42
5683,4502,33,BuzzardsBay,8/11/2008,2008,3,1,0.333333333,3,0,0,0.166666667,1
5685,4502,33,BuzzardsBay,8/14/2008,2008,3,0,0,3,0,0,0,0
5688,4502,33,BuzzardsBay,9/14/2008,2008,3,2,0.666666667,3,2,0.666666667,0.666666667,4
5690,4502,33,BuzzardsBay,9/18/2008,2008,3,0,0,3,4,1.333333333,0.666666667,4
5694,4280,33,BuzzardsBay,8/11/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5696,4280,33,BuzzardsBay,8/14/2008,2008,3,1,0.333333333,3,2,0.666666667,0.5,3
5697,4280,33,BuzzardsBay,9/14/2008,2008,3,1,0.333333333,3,4,1.333333333,0.833333333,5
5699,4280,33,BuzzardsBay,9/18/2008,2008,3,2,0.666666667,3,1,0.333333333,0.5,3
5700,4277,33,BuzzardsBay,8/11/2008,2008,3,0,0,3,0,0,0,0
5703,4277,33,BuzzardsBay,8/14/2008,2008,3,0,0,3,0,0,0,0
5705,4277,33,BuzzardsBay,9/14/2008,2008,3,0,0,3,5,1.666666667,0.833333333,5
5709,4277,33,BuzzardsBay,9/18/2008,2008,3,0,0,3,6,2,1,6
5714,3973,33,BuzzardsBay,8/4/2008,2008,3,0,0,3,5,1.666666667,0.833333333,5
5717,3973,33,BuzzardsBay,8/7/2008,2008,3,0,0,3,2,0.666666667,0.333333333,2
5720,3724,31,BuzzardsBay,8/4/2008,2008,3,2,0.666666667,3,1,0.333333333,0.5,3
5721,3724,31,BuzzardsBay,8/7/2008,2008,3,1,0.333333333,3,3,1,0.666666667,4
5723,3723,31,BuzzardsBay,8/4/2008,2008,3,1,0.333333333,3,2,0.666666667,0.5,3
5725,3723,31,BuzzardsBay,8/7/2008,2008,3,1,0.333333333,3,1,0.333333333,0.333333333,2
5727,3722,31,BuzzardsBay,8/4/2008,2008,3,0,0,3,2,0.666666667,0.333333333,2
5729,3722,31,BuzzardsBay,8/7/2008,2008,3,1,0.333333333,3,1,0.333333333,0.333333333,2
5730,3640,31,BuzzardsBay,8/4/2008,2008,3,0,0,3,1,0.333333333,0.166666667,1
5732,3640,31,BuzzardsBay,8/7/2008,2008,3,0,0,3,2,0.666666667,0.333333333,2
5733,3555,31,BuzzardsBay,8/4/2008,2008,3,0,0,3,0,0,0,0
5734,3555,31,BuzzardsBay,8/7/2008,2008,3,0,0,3,3,1,0.5,3
5736,3472,31,BuzzardsBay,8/4/2008,2008,3,0,0,3,0,0,0,0
